name,mass,radius,period,semi_major_axis,temperature,distance_light_year,host_star_mass,host_star_temperature
HD 87883 b,1.54,,2754,3.58,,59.69,0.66,4915
HD 95872 b,4.6,,4375,5.2,,236,0.95,5312
HD 164604 b,1.99792,,641.472,1.331,,128.54,0.77,4684
HD 360 b,0.75,,273.1,0.98,,362,1.69,4770
HD 103774 b,0.367,,5.8881,0.07,,173.1,1.33,6489
TOI-1231 b,0.0485,0.326,24.245586,0.1288,330,89.68,0.485,3553
HD 132406 b,5.38,,974,1.98,,231.35,1.03,5783
HD 181234 b,8.37,,7462.0575,12.4,,155.9,1.01,5386
HD 206255 b,0.108,,96.045,0.461,,245.9,1.42,5635
HD 4308 b,0.05,,15.56,0.12,,71.85,0.93,5686
PSR J1719-1438 b,1.2,,0.090706,0.0044,,3914,1.4,4500
HD 81040 b,7.27,,1001.7,1.94,,112.43,1.05,5755
HD 215497 b,0.02,,3.93404,0.05,,132.39,0.67,5110
HD 215497 c,0.33,,567.94,1.282,,132.39,0.67,5110
HD 170469 b,0.66,,1145,2.24,,196.61,1.1,5842
HD 32963 b,0.7,,2372,3.41,,114.9,0.94,5727
HD 159243 b,1.13,,12.62,0.11,,223.7,1.12,6123
HD 159243 c [fr],1.9,,248.4,0.8,,223.7,1.12,6123
HD 155358 b,0.99,,194.3,0.63,,142.44,1.15,5905
HD 155358 c,0.82,,391.9,1.02,,142.44,1.15,5905
WASP-150 b,8.46,1.07,5.644207,0.0694,1460,2422,1.394,6218
HD 6434 b,0.49,,21.998,0.14,,138.33,1.1,5769
HD 213885 b,0.0278,0.1557,1.008035,0.02012,,156.45721,1.068,5978
HD 213885 c,0.06277,,4.78503,0.056798,1265.4,156.45721,1.068,5978
HD 103720 b,0.62,,4.5557,0.0498,,136,0.79,5017
HD 150706 b,2.71,,5894,6.7,,88.8,1.17,5961
HD 220689 b,1.06,,2209,3.36,,147.5,1.04,5921
HD 131399 Ab,4,,200000,80,850,320,2.08,940
KIC 8121913 b,2.1,,3.294601,,,2350,1.456,5975.3
HD 70642 b,1.993,,2124.54,3.318,,95.57,1.08,5732
HD 114386 b,1.14,,937.7,1.73,,91.16,0.6,4836
HD 110113 b,0.0143,0.183,2.541,0.035,1371,346.5,0.99,5730
HD 110113 c,0.033,,6.744,0.068,990,346.5,0.99,5730
HD 76700 b,0.21,,3.97097,0.05,,198.93,0.99,5644
HD 114783 b,1.1,,493.7,1.16,,66.54,0.85,5135
HD 114783 c,0.611,,4319,,,66.5,0.85,5135
HD 191806 b,8.52,,1606.3,2.8,,239.6,1.14,6010
HD 180902 b,1.685,,510.9,1.4,,342.12,1.41,4961
HD 105779 b,0.64,,2412,3.38,,179.7,0.89,5792
HD 158996 b,14,,820.2,2.1,,933,1.8,4069
HD 177565 b,0.04751,,44.505,0.246,,56,1,
HD 83443 b,0.34,,2.9857,0.04,,133.57,0.79,5442
HD 121504 b,1.51,,63.33,0.33,,136.04,1.62,6027
HD 156411 b,0.74,,842.2,1.88,,185.78,1.25,5900
HD 13167 b,3.31,1.167,2613,4.1,,487.8,1.35,5671
PSR B1620-26 b,2.5,,,23,,12400,1.35,
TOI-1685 b,0.0121,0.131,0.669143,0.01156,1052,122.68,0.495,3434
HD 190647 b,1.985,,1176.45,2.231,,177.96,1.07,5656
SWEEPS-11b,9.7,1.13,1.796,0.03,,28000,1.1,
HIP 116454 b,0.037,0.226,9.1205,0.0906,,180,0.78,5089
HIP 79431 b,2.1,,111.7,0.36,,47.42,0.42,3368
HD 50499 b,1.636,,2447.1,3.833,,151.18,1.25,6102
HD 26161 b,13.5,,32000,20.4,,133.6,,
HD 150433 b,0.168,,1096,1.93,,99.36,,
HD 124330 b,0.75,,270.66,0.86,,198,1.15,5873
HD 128356 b [id],0.89,,298.2,0.87,,84.9,0.65,4875
Gliese 832 b,0.68,,3657,3.56,,16.21,0.45,3472
Gliese 832 c,0.017,,35.68,0.163,,16.1,0.45,3472
HR 5183 b,3.23,,27000,18,171,102.7,1.07,5794
HD 20782 b,1.4878,,597.0643,1.3649,,117.49,1.07,5790
HD 20781 b,0.0334,,29.158,0.1647,,115.36,0.7,5256
HD 20781 c,0.0442,,85.5073,0.3374,,115.36,0.7,5256
HD 103197 b,0.09,,47.84,0.25,,186.7,0.8,5250
Proxima Centauri b,0.004,,11.186,0.0485,,4.2,0.12,3050
Proxima Centauri c,0.0179,,1928,1.489,39,4.244,0.1221,3042
EPIC 249893012 b [ja],0.02753,0.174,3.5951,0.047,1616,1059.03,1.05,5430
EPIC 249893012 c [ja],0.04616,0.3274,15.624,0.13,990,1059.03,1.05,5430
EPIC 249893012 d [ja],0.03203,0.3515,35.747,0.22,752,1059.03,1.05,5430
HD 233604 b,6.575,,192,0.747,,2830,1.5,4791
TOI-132 b,0.07048,0.305,2.109702,0.026,1395,536.43,0.97,5397
HD 82886 b,2.33,,705,1.58,,415.93,2.53,4953
8 Ursae Minoris b,1.5,,93.4,0.49,,519,1.8,4847.4
HD 5278 b,0.0245,0.219,14.339156,0.1202,943,183.1,1.126,6203
HD 5278 c,0.0579,,0.2416,0.1202,943,183.1,1.126,6203
YSES 2 b,6.3,,,115,,356.4,1.1,4749
HD 141937 b,9.69,,653.21997,1.5,,108.91,1.09,5870
HD 45350 b,1.79,,963.6,1.92,,153.1,1.02,5616
HD 168746 b,0.27,,6.404,0.07,900,135.75,1.07,5570
TOI-431 b,0.0097,0.0014,0.490047,0.0113,1862,106.37,0.78,4850
TOI-431 c,0.0089,,4.8494,0.0052,867,106.37,0.78,4850
TOI-431 d,0.0312,0.294,12.46103,0.098,633,106.37,0.78,4850
HD 120084 b,4.5,,2082,4.3,,318.5,2.39,4892
TOI-640 b,0.88,1.771,5.003778,0.06608,1749,1115,1.536,6460
HD 220074 b,11.1,,672.1,1.6,,942.7,1.2,3935
HD 240237 b,15.89,,745.7,1.92,,3125,8.76,3926
LHS 1140 b,0.0209,0.128,24.73712,0.0875,254,40.7,0.18,3216
LHS 1140 c,0.00569,0.1144,3.777931,0.02675,438,40.67,0.18,3216
GJ 725 B b,0.0038,,2.7,0.0238,,11.481,0.25,3441
HD 31527 b,0.0329,,16.5535,0.1254,,125.8,0.96,5898
HD 31527 c,0.0445,,51.2053,0.2663,,125.8,0.96,5898
HD 31527 d,0.0372,,271.6737,0.8098,,125.8,0.96,5898
Gliese 436 b,0.07,0.372,2.643883,0.0291,686,31.83,0.47,3479
HD 23127 b,1.527,,1211.17,2.37,,306.96,1.21,5843
HD 21693 b,0.0259,0.1976,22.6786,0.1455,,105.61,0.8,5430
HD 21693 c,0.0547,,53.7357,0.2586,,105.61,0.8,5430
TOI-1728 b [ja],0.084,0.45,3.49151,0.0391,767,198.2,0.646,3980
GSC 06214-00210 b,16,1.8,,320,2300,472.94,0.9,4200
HD 15337 b,0.0236,0.146,4.75615,0.0522,1001,146.36,0.9,5125
HD 15337 c,0.0255,0.213,17.1784,0.1268,642,146.36,0.9,5125
HD 89345 b,0.11,0.66,11.8143,0.1066,1089,433.1,1.16,5576
HD 99706 b,1.23,,841,1.98,,480.15,1.46,4862
HD 99706 c,5.69,,1278,,,480,1.46,4862
HD 86950 b,3.6,,1270,2.72,,550,1.66,4805
HIP 109600 b,2.68,,232.08,0.706,,191,0.87,5530
HD 331093 b,1.5,,621.62,1.44,,164.07,1.03,5544
HD 48265 b,1.525,,778.51,1.814,,296.09,1.31,5733
WASP-186 b,4.22,1.11,5.026799,0.06,1348,913,1.22,6361
HD 181433 b,0.02,,9.3743,0.08,,87.74,0.63,4918
HD 181433 c,0.64,,962,1.76,,87.74,0.63,4918
HD 181433 d,0.54,,2172,3,,87.74,0.63,4918
HD 164922 e,0.0331,,41.763,0.2293,,71.69,0.874,5293
HD 164922 c,0.04059,,75.765,0.3351,400,72.2,0.87,5293
HD 164922 b,0.31,,1155,2.1,159,71.82,0.76,5372
HD 164922 d,0.013,,12.458,0.103,,72.1,0.874,5293
HD 171238 b,2.72,,1532,2.57,,146.35,0.96,5440
TOI-1789 b,0.7,1.4,3.208666,0.04873,1929,729,1.499,5984
Ross 458 c,6.28536,1.22,,1168,,37.54,0.49,3621
HD 215456 b,0.101,,191.99,0.652,,129.3,,
HD 215456 c,0.246,,2277,3.394,,129.3,,
HD 13931 b,2.2,,4218,5.15,,154.8,1.3,5867
HD 104985 b,8.3,,199.505,0.95,,328.97,2.3,4877
HD 49674 b,0.1,,4.94737,0.06,,140.55,1.03,5602
TOI-1518 b,2.3,1.875,1.902603,0.0389,3237,742,1.79,7300
HD 86264 b,7,,1475,2.86,,221.6,1.42,6210
HD 42012 b,1.6,,857.5,1.67,,121,0.83,5405
HD 206610 b,2.036,,673.2,1.74,,482.01,1.55,4842
HD 163607 b,0.7836,,75.2203,0.362,,221.53,1.12,5522
HD 163607 c,2.201,,1272,2.39,,221.53,1.12,5522
PSR J2322-2650 b,0.7949,,0.322964,0.0102,,750,1.4,
Gliese 3470 b,0.043,0.346,3.336649,0.031,,82,0.51,3652
TOI-700 b,0.00406,0.0901,9.97701,0.0637,,101.5,0.416,3480
TOI-700 c,0.0249,0.2346,16.051998,0.0925,,101.5,0.416,3480
TOI-700 d,0.00711,0.1062,37.426,0.163,295,101.5,0.416,3480
HD 75898 b,2.71,,422.9,1.191,,255.16,1.26,5963
55 Cancri b,0.8306,,14.65152,0.115227,700,41.06,0.905,5196
55 Cancri c,0.1714,,44.4175,0.241376,,41.06,0.91,5196
55 Cancri d,3.878,,4825,5.503,,41.06,0.91,5196
55 Cancri e,0.02542,0.17,0.736539,0.01544,1958,41.06,0.91,5196
55 Cancri f,0.141,,262,0.788,,41.06,0.91,5196
HD 143105 b,1.21,,2.1974,0.0379,,159,1.51,6380
HD 203030 b,11,,,487.1,1040,128.1,0.965,5472
HD 220842 b,3.18,,218.47,0.74,,204,1.13,5960
LP 714-47 b,0.097,0.42,4.052037,0.0417,700,171.8,0.59,3950
HD 47366 b,1.75,,363.3,1.214,,260,1.81,4866
HD 47366 c,1.86,,684.7,1.853,,260,1.81,4866
WASP-112 b,0.88,1.191,3.035399,0.0382,1395,1900,0.807,5610
Pr0201 b,0.54,,4.4264,,,610,1.23,6174
HD 5319 b,1.556,,637.1,1.57,,397.37,1.27,4871
HD 5319 c,1.15,,886,2.071,,370,1.51,4958
HD 93083 b,0.37,,143.58,0.477,,93.09,0.7,4995
OGLE-2018-BLG-0962Lb,1.37,,,3.57,,21000,0.55,
HD 7924 b,0.02,,5.39792,0.06,826,55.45,0.65,5131
HD 7924 c,0.02473,,15.299,0.1134,584,54.9,0.83,5075
HD 7924 d,0.02026,,24.451,0.1551,499,54.9,0.83,5075
EPIC 246193072 b,0.26,0.774,12.455123,0.1016,650,760,0.912,5282
HD 82943 b,1.681,,441.47,1.18306,,90.05,1.2,6016
HD 82943 c,1.959,,220.078,0.74345,,90.05,1.2,6016
HD 143361 b,3.532,,1039.15,1.988,,223.91,0.97,5507
HIP 12961 b,0.36,,57.435,0.25,,76.29,0.69,3901
HD 130322 b,1.15,,10.70871,0.0925,720,104.1,0.92,5387
HD 212771 b,2.39,,380.7,1.19,,363.71,1.56,5003
HD 4208 b,0.81,,832.97,1.662,,111.65,0.88,5717
HD 2685 b,1.17,1.44,4.12688,0.0568,2061,645.72,1.43,6801
HD 79498 b,1.34,,1807,2.98,,159.89,1.08,5748
HD 90156 b,0.057,,49.77,0.25,,71.63,0.84,5599
HD 20003 b,0.0378,,11.849,0.0974,,136.6,0.942,5510
HD 20003 c,0.0422,,33.823,0.1961,,136.6,0.942,5510
HD 131496 b,1.8,,896,2.01,,431.65,1.34,4846
HD 100777 b,1.03,,383.7,1.03,,161.78,0.83,5533
HD 154345 b,0.82,,3341.55884,4.21,,59.66,0.71,5468
HD 96127 b,20.96,,647.3,1.42,,1949,10.94,3943
HD 75784 b,1.15,,341.7,1.073,,224,1.41,4917
HD 75784 c,4.5,,3878,5.22,,224,1.26,4867
HD 187085 b,0.836,,1019.74,2.1,,149.91,1.19,6117
HD 231701 b,1.13,,141.63,0.567,,356.24,1.21,6101
HD 96063 b,1.27,,362.5,1.11,,458.66,1.37,5020
NGTS-11 b,0.37,0.823,35.4553,0.201,440,624,0.862,5050
HD 98736 b,2.33,,968.8,1.864,,106,0.92,5271
HD 147873 b [id],5.14,,116.596,0.522,,342.2,1.38,5972
HD 147873 c [id],2.3,,491.54,1.36,,342.2,1.38,5972
HD 60532 b,1.06,,201.9,0.77,,84.77,1.5,6245
HD 60532 c,2.51,,600.1,1.6,,84.77,1.5,6245
HD 221416 b,0.19,0.836,14.2767,0.1228,,310.0931,1.212,5080
OGLE-2016-BLG-1928,0.001,,,,,30000,,
HD 94834 b,1.26,1.242,1576,2.74,,321,1.11,4798
HD 44219 b,0.58,,472.3,1.19,,164.39,1,5752
HD 192699 b,2.096,,340.94,1.063,,234.87,1.38,5041
HD 222155 b,2.12,,3999,5.14,,165.3,1.21,5701
HD 190984 b,3.1,,4885,5.5,,485.37,0.91,5988
WASP-110 b,0.515,1.238,3.778398,0.0457,1134,904,0.892,5400
HD 14787 b,1.121,1.25,676.6,1.7,,389.9,1.43,4946
HD 212301 b,0.51,,2.24571,0.03,,177.17,1.55,6239
HD 103949 b,0.0352,,120.878,0.439,,86.5,0.77,4792
TOI-1260 b,0.0271,0.208,3.12748,0.0366,860,239.5,0.66,4227
TOI-1260 c,0.0373,0.252,7.49325,0.0656,643,239.5,0.66,4227
Gliese 581 b,0.0497,,5.3686,0.04061,,20.55,0.31,3660
Gliese 581 c,0.0173,,12.914,0.0721,,20.55,0.31,3660
Gliese 581 e,0.0053,,3.149,0.02815,,20.55,0.31,3660
TOI-954 b,0.174,0.852,3.684973,0.04963,1526,768.5,1.201,5710
HIP 65407 b,0.428,,28.125,0.177,,181,0.93,5460
HIP 65407 c,0.784,,67.3,0.316,,181,0.93,5460
HD 8574 b,2.03,,227,0.76,,146.38,1.34,6064
HD 30177 b,8.622,,2527.83,3.704,,181.61,1.05,5607
HD 30177 c,7.6,,11613,9.89,,178.4,0.99,5580
HD 63765 b,0.53,,358,0.94,,106.23,0.65,5449
HD 73526 b,3.08,,188.3,0.65,,318.05,1.14,5601
HD 73526 c,2.25,,379.1,1.03,,318.05,1.14,5601
HD 2638 b,0.42,,3.4442,0.04,,179.55,0.77,5186
WASP-148 b,0.291,0.722,8.80381,0.22,940,809,1,5460
WASP-148 c,0.397,,34.515,0.359,590,809,1,5460
Gliese 504 b,4,,,43.5,,58.5,1.22,6234
HD 134606 b,0.0292,,12.083,0.1023,,87.45,0.998,5616
HD 134606 c,0.0382,,59.52,0.2962,,87.45,0.998,5616
HD 134606 d,0.1212,,459.3,1.157,,87.45,0.998,5616
Gliese 176 b,0.026,,8.7836,0.066,450,30.89,0.45,3679
HIP 4845 b,0.053,,34.151,0.177,,68.8,0.62,
HD 63935 b,0.034,0.267,9.058811,,911,159.36,0.933,5534
HD 63935 c,0.0349,0.259,21.4023,,684,159.36,0.933,5534
HD 7199 b,0.27,,615,1.36,,118.04,0.77,5371
TOI-481 b,1.53,0.99,10.33111,0.097,1370,587,1.14,5735
Mu Arae b,1.676,,643.25,1.497,,50.91,1.08,5786
Mu Arae c,0.03321,,9.6386,0.09094,900,50.91,1.08,5786
Mu Arae d,0.5219,,310.55,0.921,,50.91,1.08,5786
Mu Arae e,1.814,,4205.8,5.235,,50.91,1.08,5786
HD 217850 b,21.6,,3501.3,4.56,,215,1.03,5544
HD 224693 b,0.7,,26.6904,0.191,,305.78,1.31,5894
HD 25015 b,4.48,,6019.32,6.19,,122.2,0.86,5160
HD 117207 b,1.926,,2621.75,3.787,,105.61,1.05,5732
HD 109246 b,0.86,,68.27,0.33,,221.7,1.2,5844
HD 156846 b,10.67,,359.51001,1.12,,155.91,1.38,6090
HD 28254 b,1.16,,1116,2.15,,178.41,1.06,5664
HD 13724 b,26.77,,14763.405,12.4,,141.9,0.76,5868
HD 157172 b,0.12,,104.84,0.416,,107.75,,
HD 211970 b,0.0409,,25.201,0.143,,42.4,0.61,4127
HD 55696 b,3.87,,1827,3.18,,255,1.29,6012
HD 97048 b,2.5,,,130,,603,2.4,10000
HD 181342 b,2.54,,564.1,1.592,,394.04,1.69,4945
HD 47186 b,0.07,,4.0845,0.05,,122.31,0.96,5657
HD 47186 c,0.35061,,1353.6,2.395,,122.31,0.96,5657
HD 164509 b,0.443,,280.17,0.87,,173.49,1.12,5922
HD 38801 b,9.698,,685.25,1.623,,299.03,1.21,5338
HD 114613 b,0.48,,3827,5.16,,66.8,1.36,5729
HD 185269 b,1.01,,6.83776,0.077,,169.84,1.3,5923
HD 80606 b,4.38,1.07,111.4367,0.4565,405,217.23,1.15,5561
HIP 14810 b,3.9,,6.673892,0.0696,,164.88,1.01,5544
HIP 14810 c,1.31,,147.747,0.549,,164.88,1.01,5544
HIP 14810 d,0.59,,981.8,1.94,,164.88,1.01,5544
Gliese 649 b,0.328,,598.3,1.135,,33.86,0.54,3700
HD 8535 b,0.68,,1313,2.45,,171.24,1.13,6136
HD 17092 b,10.13,,359.9,1.31,,749.83,6.73,4326
HD 154088 b,0.0208,,18.56,0.134,,58.2,0.91,5374
HD 86081 b,1.48,,2.137843,0.0346,,340,1.21,5939
HD 2039 b,6.29,,1120,2.2,,280.18,1.23,5945
HD 59686 b,6.92,,299.36,1.086,,292,1.43,4670
HD 30562 b,1.22,,1157,2.34,,85.39,1.12,5882
HD 34445 b,0.82,,1049,2.07,,150.53,1.14,5879
HD 34445 c,0.168,,214.67,0.7181,,146.8,1.07,5836
HD 34445 d,0.097,,117.87,0.4817,,146.8,1.07,5836
HD 34445 e,0.0529,,49.175,0.2687,,146.8,1.07,5836
HD 34445 f,0.119,,676.8,1.543,,146.8,1.07,5836
HD 34445 g,0.38,,5700,6.36,,146.8,1.07,5836
Omega Serpentis b,1.7,,277.02,1.1,,263,2.17,4770
HIP 57274 b,0.02,,8.1352,0.07,,84.41,0.29,4510
HIP 57274 c,0.40902,,32.03,0.178,,84.41,0.29,4510
HIP 57274 d,0.5267,,431.7,1.01,,84.41,0.29,4510
HD 142415 b,1.67,,386.3,1.06,,116.02,1.07,5940
HD 564 b,0.33,,492.3,1.2,,175,0.96,5902
OGLE-2013-BLG-0911L b,9.51,,,,,10500,0.29,
HD 210193 b,0.4817,,649.918,1.487,,137.8,1.04,5790
HD 95089 b,1.26,,464.4,1.36,,448.35,1.54,4918
HD 95089 c,3.97,,1860,,,42.1,1.58,5002
HD 148156 b,0.85,,1027,2.45,,186.63,1.22,6308
HIP 107772 b [ja],0.049,,55.259,0.243,,77.1,0.63,
HD 219828 b,0.066,,3.83492,0.0507,,238.98,1.18,5807
HD 219828 c,15.1,,4791,5.96,,254,1.23,5891
TOI-1444 b,0.0122,0.125,0.470269,0.1288,330,408.9,0.934,5430
HD 39194 b [ru],0.0126,,5.63,0.056,,71.43,0.67,5205
HD 39194 c [ru],0.0198,,14.03,0.103,,71.43,0.67,5205
HD 39194 d [ru],0.0126,,33.91,0.185,,71.43,0.67,5205
HD 137496 b,0.0127,0.117,1.62116,0.02732,2130,509,1.035,5799
HD 137496 c,7.66,,479.9,1.2163,370,509,1.035,5799
TOI-1749 b,0.06,0.124,2.388821,0.0291,831,324.8,0.58,3985
TOI-1749 c,0.007,0.189,4.48901,0.0443,673,324.8,0.58,3985
TOI-1749 d,0.014,0.225,9.04455,0.0707,533,324.8,0.58,3985
HD 204313 b,3.46,,1920.1,3.07,,156.1,1.03,5783
HD 204313 c,0.0553,,34.905,0.2099,,154,1.02,5776
HD 159868 b,2.218,,1184.1,2.32,,182.46,1.19,5534
HD 159868 c,0.73,,352.3,1,,171.9,1.09,5558
HD 1690 b,8.79,,533,1.36,,2509,1.86,4374
TOI-892 b,0.95,1.07,10.62656,0.092,1397,1120,1.28,6261
LHS 1815 b [ja],0.0132,0.0971,3.81433,0.0404,617,97,0.502,3643
HD 24085 b,0.0371,,2.0455,0.034,,179.4,1.22,6034
HD 32518 b,3.04,,157.54,0.59,,399.72,1.13,4580
HD 200964 b,1.599,,606.3,1.565,,237.25,1.39,4982
HD 200964 c,1.214,,852.5,1.96,,237.25,1.39,4982
TYC 8998-760-1 c,6,1.1,,320,1240,309.4,,4783
TOI-849 b,0.128,0.308,0.765524,0.01598,1800,735,0.929,5329
WD 0806-661 b,7.5,,,2500,323,62.62,0.62,9552
HD 63433 b [ru],0.017,0.009,7.10801,0.071,,73.08,0.99,5640
HD 63433 c [ru],0.023,0.238,20.5455,0.1531,,73.08,0.99,5640
HD 197037 b,0.79,,1035.7,2.07,,107.1,1.063,6137
TYC 1422-614-1 b,2.5,,198.4,0.69,,2480,1.15,4806
TYC 1422-614-1 c,10,,559.3,1.37,,2480,1.15,4806
HD 24040 b,3.86,,3668,4.92,,152.25,1.11,5802
HD 24040 c,0.201,,515.4,1.3,,152.3,1.14,5917
K2-111 c,0.0356,,15.6785,0.1166,,680,0.89,5730
Gliese 3341 b,0.0208,,14.207,0.089,,77.1,0.47,3526
HIP 35173 b,0.04,,41.516,0.217,,108.25,0.79,4881
HD 106252 b,6.93,,1531,2.61,,124.69,1.01,5874
HD 106270 b,10.13,,1888,3.34,,306.79,1.39,5509
WASP-111 b,1.85,1.442,2.310965,0.03914,2140,980,1.5,6400
HD 37605 b,2.69,,55.01292,0.277,,152.81,0.94,5329
HD 37605 c,3.366,,2720,3.814,,139.9,1,5448
HD 73583 b,0.0315,0.253,6.398042,0.0601,721,103.08,0.71,4511
HD 73583 c,0.0302,0.212,18.8797,0.1236,503,103.08,0.71,4511
HD 145934 b [fr],2.28,,2730,4.6,,748,1.75,
HD 92987 b,16.88,,10354.8375,9.62,,142.2,1.08,5770
HD 220773 b,1.45,,3724.7,4.94,,159.82,1.16,5940
HD 145457 b,2.23,,176.3,0.76,,443,1.23,4769
HD 18015 b,3.18,1.17,2278,3.87,,405.2,1.49,5603
BD-11 4672 b,0.6,,1634,2.36,,88.6,0.571,4475
BD-11 4672 c,0.048,,74.2,0.3,,88.63,0.651,4550
HD 126525 b,0.237,,960.41,1.837,,124.1,0.9,5638
HD 4917 b,1.615,1.224,400.5,1.167,,670.1,1.32,4802
HD 158038 b,1.53,,521,1.5,,310.25,1.3,4860
HD 136925 b,0.84,,4540,5.13,,156.2,,5715
HD 189567 b,0.0267,,14.3,0.111,,58.43,0.83,5726
HD 125390 b,22.16,,1756.2,3.16,,503,1.36,4850
TOI-269 b,0.0277,0.247,3.697723,0.0345,531,186.01,0.3917,3514
HD 216536 b,1.47,,148.6,0.609,,1240,1.36,4639
HD 4313 b,1.927,,356.21,1.157,,446.26,1.63,4943
HD 18742 b,3.4,,766,1.82,,532.86,1.36,4940
TOI-1634 b,0.0313,0.158,0.989346,0.01491,921,114.4,0.452,3472
HD 8673 b,14.2,,1634,3.02,,123.62,1.35,6472
Gliese 849 b,1,,1882,2.35,,28.7,0.65,3241
Tau Ceti e,0.0124,,162.87,0.538,,12,0.78,
Tau Ceti f,0.0124,,636.13,1.334,,12,0.78,
Tau Ceti g,0.00551,,20,0.133,,12,0.78,
Tau Ceti h,0.00576,,49.41,0.243,,12,0.78,
HD 96700 b,0.028,,8.12,0.0777,,84,0.89,5845
HD 96700 c,0.04,,103.5,0.424,,84,0.89,5845
HD 152079 b,2.661,,2918.92,4.187,,287.39,1.15,5907
HD 21411 b,0.207,,84.288,0.362,,95.11,0.89,5605
HD 60292 b,6.5,,495.4,1.5,,1036,1.7,4348
HD 47536 b,7.32,,712.13,1.93,,401.02,0.91,4424
GJ 3473 b,0.0059,0.113,1.198004,0.01589,773,89.29,0.36,3347
GJ 3473 c,0.0233,,15.509,0.0876,329.1,89.29,0.36,3347
HD 52265 b,1.21,,119.27,0.52,405,97.88,1.2,6136
HD 167042 b,1.7,,420.77,1.32,,162.2,1.5,4943
LHS 1678 b,0.0002,0.062,0.860232,0.01251,,64.88,0.345,3490
LHS 1678 c,0.0012,0.088,3.694247,0.0331,,64.88,0.345,3490
HD 116029 b,1.4,,670,1.65,,403.4,0.83,4819
HD 116029 c,1.27,,907,,,37.92,0.83,4819
HD 108863 b,2.414,,437.7,1.32,,539.87,1.59,4878
HD 224538 b [id],5.97,,1189.1,2.28,,253.6,1.34,6097
KIC 10068024 b,2,,2.073549,,,3600,1.22,6118.4
HD 156668 c,0.0991,,811.3,1.57,,79.34,0.772,4850
HD 156668 b,0.013,,4.6455,0.05,,79.42,0.77,4850
HD 95086 b,5,,,55.7,,298.7,1.6,
HD 40956 b,2.7,,578.6,1.4,,385,2,4869
IC 4651 9122 b,6.3,,734,2.038,,2870,2.1,9000
HD 207832 b,0.56,,161.97,0.57,,180.4,0.94,5710
HD 207832 c,0.73,,1155.7,2.112,,180.4,0.94,5710
HD 152843 b [ja],0.0364,0.304,11.6264,0.1053,,352,1.15,6310
HD 152843 c [ja],0.0865,0.521,24.38,,,352,1.15,6310
HD 238090 b,0.0217,,13.671,0.0932,469.6,49.68,0.578,3933
Gliese 674 b,0.035,,4.6938,0.039,,14.84,0.35,3600
HD 51608 b [ru],0.0402,,14.0726,0.1059,,113.6,0.8,5358
HD 51608 c [ru],0.045,,95.9446,0.3809,,113.6,0.8,5358
HD 221420 b,9.7,,22482,18.5,,101.7,1.67,5830
HD 30856 b,1.547,,847,1.85,,429.56,1.17,4895
HIP 65426 b,9,,,92,1450,363,1.96,8840
HD 208487 b,0.52,,130.08,0.524,,143.51,1.13,6067
HD 28678 b,1.542,,380.2,1.18,,622.72,1.53,4972
HD 148427 b,1.3,,331.5,1.04,,233.21,1.64,5025
HD 85512 b,0.01,,58.43,0.26,298,36.79,0.43,4300
NSVS 14256825 b,14.15,,3225,3.12,,2734.2,0.42,40000
Gliese 785 b,0.0532,,74.72,0.32,355,28.7,0.8,5166
Gliese 785 c,0.076,,525.8,1.18,185,28.7,0.8,5166
HD 219415 b,1,,2093.3,3.2,,553.7,1,4820
HD 238914 b,6,,4100,5.7,,982,1.47,4769
HATS-38 b,0.074,0.614,4.375,0.1587,1294,1131,0.89,5740
HD 222076 b [id],1.56,,871,1.83,,272,1.07,4806
HD 17674 b,0.87,,623.8,1.42,,145,0.98,5904
HD 108874 b,1.42,,394.48123,1.04,,194.46,1.1,5600
HD 108874 c,0.99,,1624,2.659,,194.46,1.1,5600